id,lat,long,Grid_Within_5km
30302088802104016,12,40,No
30302088802104032,12,40,No
30302088802104047,12,40,No
30302088802104063,12,40,No
30302088802104078,12,40,No
30302088802104093,12,40,No
30302088802104108,12,40,No
30302088802104114,12,40,No
30302088802104127,12,40,No
30302088802104143,12,40,No
30302088802104162,12,40,No
30303088802404006,12,39,Yes
30303088802404022,12,39,Yes
30303088802404037,12,39,Yes
30303088802404054,12,39,Yes
30303088802404069,12,39,Yes
30303088802404085,12,39,Yes
30303088802404095,12,39,Yes
30303088802404105,12,39,Yes
30303088802404121,12,39,Yes
30303088802404138,12,39,Yes
30303088802404153,12,39,Yes
30303088802404171,12,39,Yes
30304088800906010,12,39,Yes
30304088800906012,12,39,Yes
30304088800906051,12,39,Yes
